Ye,0.027
On the Low,0.155
Anybody,0.233
Gbona,-0.084
JA ARA E,0.3
Gum Body,0.133
Pree Me,-0.1
Dangote,-0.011
Collateral Damage,0.29
Pull Up,0.076
African Giant,0.233
Secret,0.126
Heaven’s Gate,-0.137
Sekkle Down,0.067
Wetin Man Go Do,0.083
Like To Party,0.08
Omo,0.277
Another Story,0.06
Deja Vu,0.289
Different,0.017
Soke,0.083
Rock Your Body,0.13
Calm Down,0.055
Spiritual,0.02
Streets of Africa,0.407
Devil In California,0.004
Tonight,0.323
Giddem,0.35
Hallelujah,0.266
Agbada,-0.586
More Life,0.123
Destiny,0.182
Smoke Some Weed,0.026
Freedom,0.058
Outside,0.041
This Side,-0.132
Show & Tell,-0.071
#yawadey,0.146
Odogwu,0.247
Koni Baje,-0.217
Where I’m From,-0.133
PH City Vibration,0.089
Don Gorgon,0.213
Money Play,0.415
Body to Body #Ycd,0.115
City Vibration,0.095
Run My Race,0.131
Check And Balance,-0.123
We On,0.114
"My Money, My Baby",0.025
Mandem Anthem,0.122
Boshe Nlo,0.296
Work (Freestyle),-0.04
Outro: Remember Me,0.09
Bark,0.084
Smooth sailing,0.063
Fa So LaTi Do,0.1
Dem No Know,-0.02
Behind Barz,0.0
Always love you,0.12
Na so e suppose be,0.327
Say so,0.151
No the low,0.163
Abeg Abeg (Remix),-0.12
Mary Jane,0.11
Gba,0.061
Jahs Love Is True,0.15
Follow Me,-0.052
Guilty,0.051
Acting Bad,-0.264
Omo explicit,0.287
Agbadas,-0.58
Killin Dem,0.006
