I’m Getting Ready,0.231
Your Spirit,0.35
Gracefully Broken,0.006
You Know My Name,0.098
Fill Me Up (Live),0.0
For Your Glory (Live),0.05
This Is a Move (Live),0.265
Break Every Chain (Live),0.0
The Name of Our God,0.179
Forever At Your Feet,0.311
Happy (Live),0.27
Dove’s Eyes,0.237
Confidence (Live),0.236
Smile (Live),0.297
Grace (Live),0.458
Wonderful Grace,0.663
Great God,0.715
For Your Glory,0.164
The River of the Lord,0.056
Overflow (Live),0.0
Greater (Live),0.4
One Pure and Holy Passion,-0.045
Here,0.468
I Will Follow,0.168
Put A Praise On It (Live),0.341
I Have Decided,-0.109
Love You Forever,0.292
Alive,0.115
Great God (Radio Edit),0.706
Get Up (Live),0.433
Our Eyes Are On You (Reprise),0.106
Immediately (Live),-0.078
Happy,0.227
Jesus saves - live,-0.333
Smile,0.204
You Still Love Me (Live),0.0
Love You Forever (Live),0.292
You Know My Name (Live),0.0
Sense It (Live),0.073
One Place (Live),0.367
Grace,0.407
Jesus Did It (Live),0.0
This Is The Freedom (Live),0.727
Fill me up,0.0
I Love This Place,0.55
I Will Run (Live),0.0
Confidence,0.3
Sense It (Reprise/Live),0.1
Heart Of Worship,0.065
Greater,0.3
All Day,0.041
